,test,hw,sample,worst_frame,max_fps,avg_fps,avg_fr,1%_low,wifps_10,wifps_5,wifps_2,wifps_1,wifps_0.5
35,4.0,gskill_36c18,3.0,0.0343273,251.8649320834133,174.70571048069135,169.28170004108605,125.33778644316459,134.40157271836713,128.4680353031464,125.30201021059354,121.1682748156753,118.4019337700266
36,4.0,gskill_36c18,4.0,0.0284097,255.39280657741116,175.74996757769958,170.19793180544323,126.59570343632684,134.99057450333865,129.57714536176064,126.48604949753502,122.93037564433651,120.47247394060028
37,4.0,gskill_36c18,5.0,0.0313719,253.78575587036678,175.1153360367889,169.68866462278848,125.59230562642675,134.79051229677322,128.95665690784912,125.65287217526308,121.56341286699929,119.45229078488154
38,4.0,gskill_36c18,6.0,0.0298299,253.53901673640172,175.42526850076916,169.95528985664646,126.14714659398084,134.68570568340343,128.90156877052192,126.17839495121295,122.75079595981775,119.78521030678672
39,4.0,gskill_36c18,7.0,0.028311199999999998,257.20053905264353,176.88374974912554,171.32253316967552,127.25886608092247,136.07798490627954,130.14637630698797,127.16071792953336,123.40198852573918,121.32797774990999
40,5.0,gskill_40c22,0.0,0.027665400000000003,269.74126130754684,183.04606763902518,177.00396464756972,130.57381888042812,141.49712498594687,133.65875032408616,130.0516877927804,125.68817702443076,122.1665850811462
41,5.0,gskill_40c22,1.0,0.0271461,253.6895499618611,175.67073051568048,170.61842856384652,129.176707636968,136.34815551582574,132.35660081028348,130.56202562457145,127.10939468638723,121.69363968100379
42,5.0,gskill_40c22,2.0,0.0259314,253.15643725935186,174.3024467545784,169.22061710934562,128.43250059537857,135.04223732860885,131.49086918536506,129.23584735305633,125.21039204212978,121.97147288336369
43,5.0,gskill_40c22,3.0,0.0274279,250.8980019561268,174.29589382119153,169.2921830450135,128.06105861753045,135.52130875453594,131.34983625969033,128.67321319543382,125.34956224249558,121.81175957741424
44,5.0,gskill_40c22,4.0,0.0269021,254.1094203310768,175.24355699181186,170.2362245050879,129.5534209581257,136.7112032430443,132.37501752314895,129.96410348634907,126.76139247340858,123.25798228283733
45,5.0,gskill_40c22,5.0,0.0278912,251.85231740920776,174.26175164031116,169.27534589224751,128.06905768015497,135.32064564980553,131.5926357211693,129.13944287977466,124.44232524034548,121.12959072087683
46,5.0,gskill_40c22,6.0,0.0288924,251.23478945739927,174.40587180576202,169.4023186649195,128.3653502642652,135.4663875375495,131.66835108821232,129.46684715493487,126.13810307754332,121.74353500437518
47,5.0,gskill_40c22,7.0,0.026874099999999998,251.6095276872964,174.31736335667324,169.30535814376879,127.98763277024787,135.14320360740962,131.33077251771067,128.7140026364267,124.70596949285918,120.89243848269571
48,6.0,king_32c22_sc,0.0,0.028304700000000002,264.9613792674197,181.30489041567327,175.26937210046185,129.7803536305339,139.82094485915786,132.7454347506253,129.68882637999215,125.82790864794754,123.58562031041217
49,6.0,king_32c22_sc,1.0,0.0301509,255.9654177834751,174.98192627021444,169.6475301440205,127.06618373823032,134.76997838965673,130.03488641354267,127.1024216161101,123.19056922705424,120.7158382642998
50,6.0,king_32c22_sc,2.0,0.0292872,254.82609349165784,175.09453151640508,169.71923088605172,127.00702363993814,135.1686174667834,129.9718006037678,126.96807978781999,122.8179729195492,119.4660430769231
51,6.0,king_32c22_sc,3.0,0.0318755,252.59937493895893,174.80936496455817,169.55052943515523,126.91626381907784,134.87757401414356,130.20292772186636,127.72814056668749,124.27669267994946,119.67364217526179
52,6.0,king_32c22_sc,4.0,0.0282594,255.21985364301622,175.14282455460753,169.71884346386233,126.93071155372624,134.99406811771127,129.95694247299969,127.0564508501459,123.2698138459667,120.43424568069821
53,6.0,king_32c22_sc,5.0,0.0279289,252.14151592742496,174.13601493849433,168.84391604611082,126.06582726535828,134.11711172613258,129.18376760201465,126.6093073436869,122.6149542508578,118.57978556708865
54,6.0,king_32c22_sc,6.0,0.0298963,253.53266455821318,174.0105035624287,168.73442723150544,125.93459119138919,133.99077640499928,129.38513386457868,126.45437695064948,122.77655778533457,117.6857610890297
55,6.0,king_32c22_sc,7.0,0.0290167,254.7515881400099,174.30754334869866,168.91273162158322,126.16292999055187,134.18635002246305,129.4745804445019,126.50168413173644,122.4537798925664,119.4076522351875
